-56 -56 -56 -56 -56 -56 -56 -56 -56 -50 
-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
-50 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -59 -59 -59 -59 -56 -56 
-56 -58 -58 -58 -58 -58 -58 -58 -58 -58 
-58 -58 -58 -58 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-49 -49 -49 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -49 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -49 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -57 -57 -57 -57 -57 -57 -57 -57 
-57 -57 -57 -57 -57 -57 -57 -57 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
-50 -50 -50 -50 -46 -46 -46 -46 -46 -46 
-46 -46 -46 -46 -46 -46 -46 -46 -46 -46 
-49 -49 -49 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -49 -49 -49 -49 -50 -50 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
-59 -59 -59 -59 -59 -59 -52 -52 -52 -52 
-52 -52 -52 -52 -52 -52 -52 -52 -52 -52 
-59 -59 -59 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -45 -45 
-45 -45 -45 -45 -45 -45 -45 -45 -45 -45 
-45 -45 -45 -45 -44 -44 -44 -44 -44 -44 
-44 -44 -44 -44 -44 -44 -44 -45 -45 -45 
-45 -45 -45 -45 -45 -45 -45 -48 -48 -48 
-48 -48 -48 -48 -48 -48 -48 -48 -48 -48 
-48 -48 -48 -48 -48 -48 -48 -48 -48 -48 
-48 -48 -48 -50 -50 -50 -50 -50 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -50 -50 -58 
-58 -58 -58 -58 -58 -58 -58 -58 -58 -58 
-58 -58 -58 -58 -58 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -49 -49 -49 -49 -59 -59 -59 -59 
-52 -52 -52 -52 -52 -52 -52 -52 -52 -52 
-52 -52 -52 -44 -44 -44 -44 -44 -44 -44 
-44 -44 -44 -44 -44 -44 -44 -44 -47 -47 
-47 -47 -47 -47 -47 -47 -47 -47 -47 -47 
-47 -47 -47 -47 -40 -40 -40 -40 -40 -40 
-40 -40 -40 -40 -40 -40 -40 -43 -43 -43 
-43 -43 -43 -43 -43 -43 -43 -43 -43 -43 
-43 -43 -43 -50 -50 -50 -50 -50 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -49 -49 -49 
-49 -49 -49 -49 -49 -49 -49 -49 -49 -49 
-49 -49 -50 -50 -50 -50 -50 -50 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -50 -43 -43 
-43 -43 -43 -43 -43 -43 -43 -43 -43 -43 
-43 -43 -43 -43 -43 -43 -43 -43 -43 -43 
-43 -45 -45 -45 -45 -45 -45 -45 -45 -45 
-45 -44 -44 -44 -44 -44 -44 -44 -47 -47 
-47 -47 -47 -47 -47 -47 -47 -47 -46 -46 
-46 -46 -46 -46 -46 -46 -46 -46 -49 -49 
-49 -49 -49 -49 -49 -49 -49 -49 -47 -47 
-47 -47 -47 -47 -47 -47 -47 -47 -42 -42 
-42 -42 -42 -42 -42 -42 -42 -42 -42 -42 
-42 -46 -46 -46 -46 -46 -46 -46 -46 -46 
-46 -46 -46 -46 -46 -46 -46 -41 -41 -41 
-41 -41 -41 -41 -41 -41 -41 -41 -41 -41 
-41 -41 -41 -43 -43 -43 -43 -43 -43 -43 
-43 -43 -43 -43 -43 -43 -43 -43 -43 -48 
-48 -48 -48 -48 -48 -48 -48 -48 -48 -48 
-48 -48 -48 -48 -48 -59 -59 -59 -59 -59 
-59 -59 -59 -59 -59 -59 -59 -59 -50 -50 
-50 -50 -50 -50 -50 -50 -50 -40 -40 -40 
-40 -40 -40 -40 -40 -40 -40 -40 -40 -40 
-41 -41 -41 -41 -41 -41 -41 -41 -41 -41 
-41 -41 -41 -41 -41 -41 -42 -42 -42 -42 
-42 -42 -42 -42 -42 -42 -42 -42 -42 -42 
-42 -42 -41 -41 -41 -41 -41 -41 -41 -41 
-41 -41 -41 -41 -41 -41 -41 -41 -41 -40 
-40 -40 -40 -41 -41 -41 -41 -46 -46 -46 
-46 -46 -46 -46 -46 -46 -46 -46 -46 -46 
-46 -46 -47 -47 -47 -47 -48 -48 -48 -48 
-46 -46 -46 -46 -46 -46 -46 -46 -46 -46 
-44 -44 -44 -44 -44 -44 -44 -44 -44 -44 
-45 -45 -45 -45 -45 -45 -45 -45 -45 -45 
-45 -45 -45 -48 -48 -48 -48 -48 -48 -48 
-48 -48 -48 -48 -48 -48 -45 -45 -45 -45 
-45 -45 -45 -46 -46 -46 -46 -46 -46 -46 
-42 -42 -42 -42 -42 -42 -42 -42 -41 -41 
-41 -41 -41 -41 -41 -41 -38 -38 -38 -38 
-41 -41 -41 -41 -41 -41 -41 -41 -41 -41 
-41 -41 -41 -56 -56 -56 -56 -56 -56 -56 
-56 -56 -56 -56 -56 -56 -56 -56 -56 -56 
